iter	Passed	Remaining
1356	5155	2822
1357	5159	2818
1358	5162	2814
1359	5166	2811
1360	5169	2807
1361	5172	2802
1362	5176	2799
1363	5179	2794
1364	5182	2790
1365	5186	2786
1366	5189	2782
1367	5193	2778
1368	5196	2774
1369	5200	2771
1370	5204	2767
1371	5207	2763
1372	5211	2759
1373	5214	2755
1374	5217	2751
1375	5221	2747
1376	5225	2743
1377	5228	2739
1378	5232	2735
1379	5235	2731
1380	5238	2727
1381	5243	2724
1382	5246	2720
1383	5251	2716
1384	5255	2712
1385	5258	2708
1386	5262	2705
1387	5266	2701
1388	5269	2697
1389	5274	2693
1390	5277	2689
1391	5280	2685
1392	5285	2682
1393	5288	2678
1394	5291	2674
1395	5296	2670
1396	5300	2667
1397	5305	2664
1398	5308	2660
1399	5313	2656
1400	5317	2652
1401	5320	2648
1402	5323	2644
1403	5327	2640
1404	5330	2636
1405	5334	2632
1406	5337	2628
1407	5340	2624
1408	5344	2620
1409	5348	2617
1410	5351	2613
1411	5355	2609
1412	5358	2605
1413	5361	2601
1414	5364	2597
1415	5368	2593
1416	5371	2589
1417	5374	2585
1418	5379	2581
1419	5382	2577
1420	5385	2573
1421	5390	2570
1422	5393	2566
1423	5397	2562
1424	5401	2558
1425	5404	2554
1426	5407	2550
1427	5412	2546
1428	5415	2542
1429	5418	2538
1430	5422	2534
1431	5425	2530
1432	5428	2526
1433	5434	2523
1434	5437	2519
1435	5441	2516
1436	5444	2512
1437	5448	2508
1438	5452	2504
1439	5455	2500
1440	5458	2496
1441	5462	2492
1442	5466	2488
1443	5469	2484
1444	5473	2481
1445	5477	2477
1446	5480	2473
1447	5484	2469
1448	5487	2465
1449	5491	2461
1450	5495	2458
1451	5499	2454
1452	5502	2450
1453	5506	2446
1454	5510	2442
1455	5513	2438
1456	5517	2435
1457	5521	2431
1458	5524	2427
1459	5529	2423
1460	5532	2419
1461	5536	2415
1462	5540	2412
1463	5543	2408
1464	5547	2404
1465	5550	2400
1466	5553	2396
1467	5557	2392
1468	5560	2388
1469	5563	2384
1470	5567	2380
1471	5571	2377
1472	5575	2373
1473	5578	2369
1474	5583	2365
1475	5586	2361
1476	5590	2357
1477	5593	2354
1478	5596	2350
1479	5599	2345
1480	5604	2342
1481	5607	2338
1482	5610	2334
1483	5614	2330
1484	5617	2326
1485	5620	2322
1486	5625	2318
1487	5628	2314
1488	5631	2310
1489	5636	2307
1490	5639	2303
1491	5642	2299
1492	5646	2295
1493	5649	2291
1494	5652	2287
1495	5656	2283
1496	5659	2279
1497	5662	2275
1498	5667	2272
1499	5670	2268
1500	5673	2264
1501	5677	2260
1502	5680	2256
1503	5685	2252
1504	5689	2249
1505	5692	2245
1506	5695	2241
1507	5700	2237
1508	5703	2233
1509	5706	2229
1510	5710	2226
1511	5713	2222
1512	5716	2218
1513	5721	2214
1514	5724	2210
1515	5727	2206
1516	5733	2203
1517	5736	2199
1518	5739	2195
1519	5743	2191
1520	5747	2187
1521	5751	2184
1522	5755	2180
1523	5758	2176
1524	5763	2172
1525	5766	2168
1526	5769	2164
1527	5773	2161
1528	5777	2157
1529	5780	2153
1530	5785	2150
1531	5788	2146
1532	5791	2141
1533	5795	2138
1534	5799	2134
1535	5802	2130
1536	5806	2126
1537	5809	2122
1538	5812	2118
1539	5817	2115
1540	5820	2111
1541	5823	2107
1542	5828	2104
1543	5831	2100
1544	5834	2096
1545	5838	2092
1546	5841	2088
1547	5844	2084
1548	5848	2080
1549	5852	2076
1550	5854	2072
1551	5859	2068
1552	5862	2065
1553	5866	2061
1554	5870	2057
1555	5874	2053
1556	5877	2049
1557	5882	2046
1558	5885	2042
1559	5888	2038
1560	5893	2034
1561	5896	2030
1562	5899	2026
1563	5903	2023
1564	5906	2019
1565	5909	2015
1566	5914	2011
1567	5917	2007
1568	5920	2003
1569	5926	2000
1570	5929	1996
1571	5932	1992
1572	5936	1988
1573	5939	1984
1574	5942	1980
1575	5947	1977
1576	5950	1973
1577	5953	1969
1578	5958	1965
1579	5961	1961
1580	5964	1957
1581	5968	1954
1582	5971	1950
1583	5975	1946
1584	5979	1943
1585	5983	1939
1586	5986	1935
1587	5990	1931
1588	5993	1927
1589	5996	1923
1590	6001	1919
1591	6004	1915
1592	6007	1911
1593	6012	1908
1594	6016	1904
1595	6033	1905
1596	6050	1905
1597	6057	1902
1598	6061	1899
1599	6072	1897
1600	6076	1893
1601	6079	1889
1602	6082	1885
1603	6087	1882
1604	6090	1878
1605	6093	1874
1606	6098	1870
1607	6101	1866
1608	6104	1862
1609	6108	1859
1610	6112	1855
1611	6115	1851
1612	6119	1847
1613	6122	1843
1614	6125	1839
1615	6130	1835
1616	6133	1831
1617	6136	1828
1618	6140	1824
1619	6144	1820
1620	6147	1816
1621	6151	1812
1622	6154	1808
1623	6157	1804
1624	6162	1801
1625	6165	1797
1626	6169	1793
1627	6173	1789
1628	6176	1785
1629	6179	1781
1630	6185	1778
1631	6188	1774
1632	6191	1770
1633	6195	1766
1634	6198	1762
1635	6202	1759
1636	6206	1755
1637	6209	1751
1638	6212	1747
1639	6217	1743
1640	6220	1739
1641	6224	1736
1642	6227	1732
1643	6230	1728
1644	6233	1724
1645	6237	1720
1646	6240	1716
1647	6244	1712
1648	6248	1709
1649	6252	1705
1650	6255	1701
1651	6259	1697
1652	6263	1693
1653	6266	1689
1654	6270	1686
1655	6274	1682
1656	6277	1678
1657	6281	1674
1658	6284	1670
1659	6288	1666
1660	6292	1663
1661	6295	1659
1662	6298	1655
1663	6302	1651
1664	6305	1647
1665	6309	1643
1666	6313	1639
1667	6316	1636
1668	6320	1632
1669	6323	1628
1670	6326	1624
1671	6330	1620
1672	6333	1616
1673	6337	1612
1674	6340	1608
1675	6344	1605
1676	6347	1601
1677	6350	1597
1678	6355	1593
1679	6359	1589
1680	6362	1585
1681	6365	1582
1682	6369	1578
1683	6372	1574
1684	6377	1570
1685	6380	1566
1686	6383	1562
1687	6387	1558
1688	6390	1555
